,ChEMBLTargetID,ModulatorCount
576,CHEMBL1908384,6
577,CHEMBL1908386,20
578,CHEMBL1908389,698
579,CHEMBL1909481,3
580,CHEMBL1909482,6
581,CHEMBL1909484,83
582,CHEMBL1909486,9
583,CHEMBL1909487,11
584,CHEMBL1909488,12
585,CHEMBL1909490,5
586,CHEMBL1910,47
587,CHEMBL1911,1
588,CHEMBL1913,1401
589,CHEMBL1914,2732
590,CHEMBL1914260,1
591,CHEMBL1914266,18
592,CHEMBL1914272,53
593,CHEMBL1914277,1
594,CHEMBL1914278,1
595,CHEMBL1915,56
596,CHEMBL1916,868
597,CHEMBL1917,486
598,CHEMBL1918,165
599,CHEMBL1919,213
600,CHEMBL1921,472
601,CHEMBL1921664,12
602,CHEMBL1925,11
603,CHEMBL1926488,64
604,CHEMBL1926492,73
605,CHEMBL1926497,24
606,CHEMBL1927,25
607,CHEMBL1929,322
608,CHEMBL1930,15
609,CHEMBL1932891,7
610,CHEMBL1932893,7
611,CHEMBL1932895,42
612,CHEMBL1932896,6
613,CHEMBL1932912,7
614,CHEMBL1935,149
615,CHEMBL1936,1528
616,CHEMBL1937,1979
617,CHEMBL1938208,33
618,CHEMBL1938209,28
619,CHEMBL1938210,70
620,CHEMBL1938211,60
621,CHEMBL1938212,60
622,CHEMBL1938215,1
623,CHEMBL1938217,9
624,CHEMBL1938222,39
625,CHEMBL1938223,8
626,CHEMBL1938224,9
627,CHEMBL1938226,1
628,CHEMBL1940,155
629,CHEMBL1941,540
630,CHEMBL1942,739
631,CHEMBL1944,469
632,CHEMBL1944495,108
633,CHEMBL1944496,4
634,CHEMBL1945,1033
635,CHEMBL1946,953
636,CHEMBL1947,2394
637,CHEMBL1949,216
638,CHEMBL1949488,39
639,CHEMBL1949490,9
640,CHEMBL1950,6
641,CHEMBL1951,1739
642,CHEMBL1952,500
643,CHEMBL1954,12
644,CHEMBL1955,771
645,CHEMBL1955709,1
646,CHEMBL1957,2419
647,CHEMBL1958,14
648,CHEMBL1959,2
649,CHEMBL1961783,109
650,CHEMBL1961784,3
651,CHEMBL1961788,11
652,CHEMBL1961790,169
653,CHEMBL1961792,8
654,CHEMBL1962,164
655,CHEMBL1963,6089
656,CHEMBL1964,6
657,CHEMBL1965,23
658,CHEMBL1966,1078
659,CHEMBL1968,294
660,CHEMBL1969,3
661,CHEMBL1970,22
662,CHEMBL1971,41
663,CHEMBL1972,22
664,CHEMBL1973,133
665,CHEMBL1974,3366
666,CHEMBL1977,481
667,CHEMBL1978,2559
668,CHEMBL1980,763
669,CHEMBL1981,839
670,CHEMBL1983,1302
671,CHEMBL1985,1186
672,CHEMBL1987,154
673,CHEMBL1988,79
674,CHEMBL1989,20
675,CHEMBL1991,963
676,CHEMBL1992,34
677,CHEMBL1993,300
678,CHEMBL1994,942
679,CHEMBL1995,366
680,CHEMBL1997,236
681,CHEMBL2000,1258
682,CHEMBL2001,1119
683,CHEMBL2002,582
684,CHEMBL2003,264
685,CHEMBL2004,195
686,CHEMBL2007,682
687,CHEMBL2007625,1717
688,CHEMBL2007628,113
689,CHEMBL2007629,96
690,CHEMBL2008,263
691,CHEMBL2009,77
692,CHEMBL2010624,12
693,CHEMBL2010625,1
694,CHEMBL2010627,10
695,CHEMBL2010631,776
696,CHEMBL2010634,1
697,CHEMBL2014,1624
698,CHEMBL2015,74
699,CHEMBL2016,590
700,CHEMBL2016430,1
701,CHEMBL2016431,11
702,CHEMBL202,961
703,CHEMBL2021749,8
704,CHEMBL2021752,2
705,CHEMBL2021753,8
706,CHEMBL2021754,5
707,CHEMBL2023,131
708,CHEMBL2024,87
709,CHEMBL2027,99
710,CHEMBL2028,748
711,CHEMBL2029197,48
712,CHEMBL2029198,62
713,CHEMBL203,7517
714,CHEMBL2032,1
715,CHEMBL2034,2549
716,CHEMBL2034803,10
717,CHEMBL2034804,5
718,CHEMBL2034807,37
719,CHEMBL2035,955
720,CHEMBL2039,3307
721,CHEMBL204,4574
722,CHEMBL2040,2
723,CHEMBL2041,1094
724,CHEMBL2044,7
725,CHEMBL2045,23
726,CHEMBL2046258,3
727,CHEMBL2046259,65
728,CHEMBL2046260,3
729,CHEMBL2046267,87
730,CHEMBL2047,1345
731,CHEMBL2048,8
732,CHEMBL2049,927
733,CHEMBL205,7812
734,CHEMBL2052028,41
735,CHEMBL2052031,148
736,CHEMBL2052032,2
737,CHEMBL2052033,1
738,CHEMBL2052034,1
739,CHEMBL2052038,38
740,CHEMBL2055,213
741,CHEMBL2056,1530
742,CHEMBL2059,1
743,CHEMBL206,3289
744,CHEMBL2060,14
745,CHEMBL2061,600
746,CHEMBL2062348,10
747,CHEMBL2062354,7
748,CHEMBL2062357,8
749,CHEMBL2063,213
750,CHEMBL2064,4
751,CHEMBL2066,5
752,CHEMBL2068,587
753,CHEMBL2069,1014
754,CHEMBL2069156,302
755,CHEMBL2069161,184
756,CHEMBL2069163,11
757,CHEMBL2069164,4
758,CHEMBL2071,5
759,CHEMBL2072,230
760,CHEMBL2073,194
761,CHEMBL2073663,98
762,CHEMBL2073669,1
763,CHEMBL2073673,22
764,CHEMBL2073677,10
765,CHEMBL2073690,3
766,CHEMBL2073703,3
767,CHEMBL2073704,1
768,CHEMBL2074,143
769,CHEMBL2075,33
770,CHEMBL2077,2
771,CHEMBL2079845,2
772,CHEMBL2079846,417
773,CHEMBL2079849,175
774,CHEMBL2079850,2
775,CHEMBL2079852,2
776,CHEMBL208,2026
777,CHEMBL2081,3
778,CHEMBL2083,325
779,CHEMBL2085,210
780,CHEMBL2086,4
781,CHEMBL2088,56
782,CHEMBL209,1218
783,CHEMBL2093861,11653
784,CHEMBL2093862,47
785,CHEMBL2093863,1367
786,CHEMBL2093865,2275
787,CHEMBL2093866,360
788,CHEMBL2093867,166
789,CHEMBL2093869,1607
790,CHEMBL2093872,397
791,CHEMBL2094,74
792,CHEMBL2094108,1712
793,CHEMBL2094109,223
794,CHEMBL2094115,558
795,CHEMBL2094118,196
796,CHEMBL2094120,616
797,CHEMBL2094121,593
798,CHEMBL2094122,696
799,CHEMBL2094124,339
800,CHEMBL2094125,562
801,CHEMBL2094126,640
802,CHEMBL2094127,424
803,CHEMBL2094128,931
804,CHEMBL2094130,495
805,CHEMBL2094132,225
806,CHEMBL2094135,2315
807,CHEMBL2094138,196
808,CHEMBL2094251,386
809,CHEMBL2094253,61
810,CHEMBL2094254,394
811,CHEMBL2094255,113
812,CHEMBL2094256,470
813,CHEMBL2094257,237
814,CHEMBL2094258,959
815,CHEMBL2094268,164
816,CHEMBL2095149,168
817,CHEMBL2095150,162
818,CHEMBL2095151,16
819,CHEMBL2095152,197
820,CHEMBL2095153,28
821,CHEMBL2095156,15
822,CHEMBL2095158,221
823,CHEMBL2095160,273
824,CHEMBL2095161,16
825,CHEMBL2095162,86
826,CHEMBL2095163,93
827,CHEMBL2095164,384
828,CHEMBL2095165,793
829,CHEMBL2095172,183
830,CHEMBL2095173,190
831,CHEMBL2095174,284
832,CHEMBL2095180,41
833,CHEMBL2095181,125
834,CHEMBL2095182,887
835,CHEMBL2095184,401
836,CHEMBL2095185,104
837,CHEMBL2095186,191
838,CHEMBL2095187,9
839,CHEMBL2095188,427
840,CHEMBL2095189,256
841,CHEMBL2095190,107
842,CHEMBL2095191,251
843,CHEMBL2095193,213
844,CHEMBL2095194,389
845,CHEMBL2095198,99
846,CHEMBL2095200,139
847,CHEMBL2095202,81
848,CHEMBL2095203,15
849,CHEMBL2095204,767
850,CHEMBL2095205,59
851,CHEMBL2095215,52
852,CHEMBL2095216,113
853,CHEMBL2095217,151
854,CHEMBL2095219,2
855,CHEMBL2095226,332
856,CHEMBL2095227,192
857,CHEMBL2095229,116
858,CHEMBL2095230,1
859,CHEMBL2095234,1
860,CHEMBL2095396,31
861,CHEMBL2095942,141
862,CHEMBL2096618,500
863,CHEMBL2096619,10
864,CHEMBL2096620,8
865,CHEMBL2096661,433
866,CHEMBL2096662,28
867,CHEMBL2096665,387
868,CHEMBL2096667,204
869,CHEMBL2096670,120
870,CHEMBL2096675,365
871,CHEMBL2096677,20
872,CHEMBL2096678,6
873,CHEMBL2096682,78
874,CHEMBL2096904,5
875,CHEMBL2096905,40
876,CHEMBL2096907,298
877,CHEMBL2096909,53
878,CHEMBL2096972,58
879,CHEMBL2096973,76
880,CHEMBL2096976,174
881,CHEMBL2096978,38
882,CHEMBL2096981,21
883,CHEMBL2096989,40
884,CHEMBL2096990,5
885,CHEMBL2096991,11
886,CHEMBL2097,8
887,CHEMBL2097161,2
888,CHEMBL2097163,77
889,CHEMBL2097164,45
890,CHEMBL2097167,23
891,CHEMBL2097169,1
892,CHEMBL2097170,235
893,CHEMBL2098,10
894,CHEMBL2099,49
895,CHEMBL210,1993
896,CHEMBL2104,131
897,CHEMBL2105,11
898,CHEMBL2107,912
899,CHEMBL2107836,1
900,CHEMBL2107838,108
901,CHEMBL2108,183
902,CHEMBL2109,31
903,CHEMBL2109230,13
904,CHEMBL2109233,37
905,CHEMBL2109234,70
906,CHEMBL2109236,13
907,CHEMBL2109237,12
908,CHEMBL2109238,80
909,CHEMBL2109241,26
910,CHEMBL2109242,2
911,CHEMBL2109244,34
912,CHEMBL211,2155
913,CHEMBL2111189,1
914,CHEMBL2111190,142
915,CHEMBL2111191,9
916,CHEMBL2111288,224
917,CHEMBL2111289,86
918,CHEMBL2111324,3
919,CHEMBL2111325,4
920,CHEMBL2111328,18
921,CHEMBL2111329,2
922,CHEMBL2111330,4
923,CHEMBL2111332,5
924,CHEMBL2111337,5
925,CHEMBL2111339,50
926,CHEMBL2111345,69
927,CHEMBL2111346,5
928,CHEMBL2111348,461
929,CHEMBL2111351,121
930,CHEMBL2111353,74
931,CHEMBL2111357,70
932,CHEMBL2111362,5
933,CHEMBL2111363,379
934,CHEMBL2111366,43
935,CHEMBL2111367,1446
936,CHEMBL2111369,17
937,CHEMBL2111370,13
938,CHEMBL2111377,237
939,CHEMBL2111384,27
940,CHEMBL2111387,59
941,CHEMBL2111389,1194
942,CHEMBL2111390,41
943,CHEMBL2111392,15
944,CHEMBL2111394,37
945,CHEMBL2111402,20
946,CHEMBL2111407,141
