,pChEMBL,Data validity comment,Assay ChEMBL ID,confidence_score,MOA,Direct interaction (1/0)?,Disease efficacy (1/0)?,Molecule ChEMBL ID,Preferred name,Molecule type,Max phase,Availability (2/1/0/-1/-2)?,Therapeutic (1/0)?,First-in-class (1/0/-1)?,Chemical probe (1/0)?,Orphan (1/0/-1)?,Canonical SMILES,Molecular weight of full compound,Molecular formula of full compound,Parent compound ChEMBL ID,Active ingredient ChEMBL ID,Target ChEMBL ID,Active ingredient of prodrug?
1943502,6.66,,CHEMBL5253113,9,,,,CHEMBL5271719,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1094.34,C39H67N17O12S4,CHEMBL5271719,CHEMBL5271719,CHEMBL237,No
1943503,6.41,,CHEMBL5253113,9,,,,CHEMBL5277548,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](N)CC(N)=O)C(=O)N1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,1094.34,C39H67N17O12S4,CHEMBL5277548,CHEMBL5277548,CHEMBL237,No
1943504,8.17,,CHEMBL5253113,9,,,,CHEMBL5267287,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,926.14,C37H63N15O9S2,CHEMBL5267287,CHEMBL5267287,CHEMBL237,No
1943505,7.89,,CHEMBL5253113,9,,,,CHEMBL5274492,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,926.14,C37H63N15O9S2,CHEMBL5274492,CHEMBL5274492,CHEMBL237,No
1943506,7.79,,CHEMBL5253113,9,,,,CHEMBL5268235,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,926.14,C37H63N15O9S2,CHEMBL5268235,CHEMBL5268235,CHEMBL237,No
1943507,8.41,,CHEMBL5253113,9,,,,CHEMBL5268886,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,926.14,C37H63N15O9S2,CHEMBL5268886,CHEMBL5268886,CHEMBL237,No
1943508,8.27,,CHEMBL5253113,9,,,,CHEMBL5280357,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@@H](NC(=O)c1ccc(F)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,937.14,C39H61FN14O8S2,CHEMBL5280357,CHEMBL5280357,CHEMBL237,No
1943509,8.28,,CHEMBL5253113,9,,,,CHEMBL5288478,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@@H](NC(=O)c1cccc(Br)c1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,998.04,C39H61BrN14O8S2,CHEMBL5288478,CHEMBL5288478,CHEMBL237,No
1943510,8.17,,CHEMBL5253113,9,,,,CHEMBL5271178,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@@H](NC(=O)c1cccc(Cl)c1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,953.59,C39H61ClN14O8S2,CHEMBL5271178,CHEMBL5271178,CHEMBL237,No
1943511,8.92,,CHEMBL5253113,9,,,,CHEMBL5282859,,Peptide (Inferred via PubChem),,-1.0,0,-1,0,-1,N=C(N)NCCC[C@@H](NC(=O)Cc1ccc(F)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC1=O,951.17,C40H63FN14O8S2,CHEMBL5282859,CHEMBL5282859,CHEMBL237,No
